,line,2017_passenger,variable,value,bus_line
413,８４,940,2015,218.0,84号系統
414,９１,3933,2015,114.0,91号系統
415,９３,5645,2015,95.0,93号系統
416,１００,8099,2015,51.0,100号系統
417,１０１,4799,2015,68.0,101号系統
418,１０２,1945,2015,79.0,102号系統
419,２０１,13054,2015,76.0,201号系統
420,２０２,13773,2015,80.0,202号系統
421,２０３,18034,2015,73.0,203号系統
422,２０４,11539,2015,78.0,204号系統
423,２０５,34727,2015,78.0,205号系統
424,２０６,28496,2015,59.0,206号系統
425,２０７,14276,2015,60.0,207号系統
426,２０８,3779,2015,102.0,208号系統
427,北１,1979,2015,80.0,北1号系統
428,北３,2235,2015,117.0,北3号系統
429,北８,2771,2015,121.0,北8号系統
430,西１,726,2015,192.0,西1号系統
431,西２,3864,2015,137.0,西2号系統
432,西３,1197,2015,193.0,西3号系統
433,西４,1295,2015,133.0,西4号系統
434,西５,1485,2015,200.0,西5号系統
435,西６,1206,2015,152.0,西6号系統
436,西８,1686,2015,167.0,西8号系統
437,南１,1020,2015,226.0,南1号系統
438,南２,1741,2015,139.0,南2号系統
439,南３,666,2015,158.0,南3号系統
440,南５,2078,2015,85.0,南5号系統
441,南８,548,2015,201.0,南8号系統
442,Ｍ１,1233,2015,98.0,M1号系統
443,循環１,785,2015,124.0,100円循環
444,１,4061,2016,108.0,1号系統
445,３,13110,2016,82.0,3号系統
446,４,7257,2016,83.0,4号系統
447,５,13000,2016,83.0,5号系統
448,６,2723,2016,93.0,6号系統
449,８,1225,2016,151.0,8号系統
450,９,11602,2016,75.0,9号系統
451,１０,3683,2016,111.0,10号系統
452,１１,4784,2016,97.0,11号系統
453,１２,7242,2016,78.0,12号系統
454,１３,4415,2016,147.0,13号系統
455,１５,2687,2016,100.0,15号系統
456,１６,1142,2016,212.0,16号系統
457,１７,6612,2016,61.0,17号系統
458,１８,3009,2016,177.0,18号系統
459,１９,803,2016,175.0,19号系統
460,２０,1314,2016,173.0,20号系統
461,２２,1358,2016,191.0,22号系統
462,２６,5177,2016,93.0,26号系統
463,２７,2667,2016,135.0,27号系統
464,２８,5422,2016,96.0,28号系統
465,２９,2707,2016,112.0,29号系統
466,３１,1323,2016,122.0,31号系統
467,３２,4210,2016,103.0,32号系統
468,３３,2439,2016,124.0,33号系統
469,３７,5690,2016,98.0,37号系統
470,４２,716,2016,158.0,42号系統
471,４３,859,2016,159.0,43号系統
472,４６,10257,2016,82.0,46号系統
473,５０,6031,2016,90.0,50号系統
474,５１,1246,2016,119.0,51号系統
475,５５,1857,2016,109.0,55号系統
476,５９,6879,2016,85.0,59号系統
477,６５,997,2016,153.0,65号系統
478,６７,311,2016,122.0,67号系統
479,６９,2095,2016,164.0,69号系統
480,７０,1934,2016,93.0,70号系統
481,７１,2881,2016,130.0,71号系統
482,７３,3728,2016,98.0,73号系統
483,７５,1449,2016,135.0,75号系統
484,７８,918,2016,177.0,78号系統
485,８０,2723,2016,98.0,80号系統
486,８１,3803,2016,115.0,81号系統
487,８４,940,2016,229.0,84号系統
488,９１,3933,2016,112.0,91号系統
489,９３,5645,2016,91.0,93号系統
490,１００,8099,2016,51.0,100号系統
491,１０１,4799,2016,64.0,101号系統
492,１０２,1945,2016,73.0,102号系統
493,２０１,13054,2016,73.0,201号系統
494,２０２,13773,2016,77.0,202号系統
495,２０３,18034,2016,69.0,203号系統
496,２０４,11539,2016,77.0,204号系統
497,２０５,34727,2016,76.0,205号系統
498,２０６,28496,2016,59.0,206号系統
499,２０７,14276,2016,59.0,207号系統
500,２０８,3779,2016,102.0,208号系統
501,北１,1979,2016,80.0,北1号系統
502,北３,2235,2016,113.0,北3号系統
503,北８,2771,2016,115.0,北8号系統
504,西１,726,2016,190.0,西1号系統
505,西２,3864,2016,140.0,西2号系統
506,西３,1197,2016,191.0,西3号系統
507,西４,1295,2016,140.0,西4号系統
508,西５,1485,2016,192.0,西5号系統
509,西６,1206,2016,153.0,西6号系統
510,西８,1686,2016,167.0,西8号系統
511,南１,1020,2016,235.0,南1号系統
512,南２,1741,2016,146.0,南2号系統
513,南３,666,2016,150.0,南3号系統
514,南５,2078,2016,92.0,南5号系統
515,南８,548,2016,196.0,南8号系統
516,Ｍ１,1233,2016,97.0,M1号系統
517,循環１,785,2016,124.0,100円循環
518,１,4061,2017,109.0,1号系統
519,３,13110,2017,83.0,3号系統
520,４,7257,2017,84.0,4号系統
521,５,13000,2017,86.0,5号系統
522,６,2723,2017,99.0,6号系統
523,８,1225,2017,159.0,8号系統
524,９,11602,2017,75.0,9号系統
525,１０,3683,2017,115.0,10号系統
526,１１,4784,2017,99.0,11号系統
527,１２,7242,2017,79.0,12号系統
528,１３,4415,2017,157.0,13号系統
529,１５,2687,2017,98.0,15号系統
530,１６,1142,2017,224.0,16号系統
531,１７,6612,2017,61.0,17号系統
532,１８,3009,2017,176.0,18号系統
533,１９,803,2017,177.0,19号系統
534,２０,1314,2017,175.0,20号系統
535,２２,1358,2017,192.0,22号系統
536,２６,5177,2017,99.0,26号系統
537,２７,2667,2017,132.0,27号系統
538,２８,5422,2017,96.0,28号系統
539,２９,2707,2017,117.0,29号系統
540,３１,1323,2017,120.0,31号系統
541,３２,4210,2017,99.0,32号系統
542,３３,2439,2017,126.0,33号系統
543,３７,5690,2017,98.0,37号系統
544,４２,716,2017,156.0,42号系統
545,４３,859,2017,166.0,43号系統
546,４６,10257,2017,83.0,46号系統
547,５０,6031,2017,91.0,50号系統
548,５１,1246,2017,117.0,51号系統
549,５５,1857,2017,108.0,55号系統
550,５９,6879,2017,90.0,59号系統
551,６５,997,2017,152.0,65号系統
552,６７,311,2017,114.0,67号系統
553,６９,2095,2017,155.0,69号系統
554,７０,1934,2017,92.0,70号系統
555,７１,2881,2017,129.0,71号系統
556,７３,3728,2017,99.0,73号系統
557,７５,1449,2017,139.0,75号系統
558,７８,918,2017,185.0,78号系統
559,８０,2723,2017,101.0,80号系統
560,８１,3803,2017,116.0,81号系統
561,８４,940,2017,235.0,84号系統
562,９１,3933,2017,112.0,91号系統
563,９３,5645,2017,95.0,93号系統
564,１００,8099,2017,53.0,100号系統
565,１０１,4799,2017,76.0,101号系統
566,１０２,1945,2017,71.0,102号系統
567,２０１,13054,2017,72.0,201号系統
568,２０２,13773,2017,78.0,202号系統
569,２０３,18034,2017,68.0,203号系統
570,２０４,11539,2017,80.0,204号系統
571,２０５,34727,2017,79.0,205号系統
572,２０６,28496,2017,61.0,206号系統
573,２０７,14276,2017,59.0,207号系統
574,２０８,3779,2017,102.0,208号系統
575,北１,1979,2017,86.0,北1号系統
