,year,p-amount,area,enter,exit,variable,date
197,2012,100,kanto,2012-06-09,2012-07-25,g-enter,1900-06-09
198,2013,77,kanto,2013-06-10,2013-07-06,g-enter,1900-06-10
199,2014,116,kanto,2014-06-05,2014-07-21,g-enter,1900-06-05
200,2015,128,kanto,2015-06-03,2015-07-10,g-enter,1900-06-03
201,2016,74,kanto,2016-06-05,2016-07-29,g-enter,1900-06-05
202,2017,71,kanto,2017-06-07,2017-07-06,g-enter,1900-06-07
203,2018,92,kanto,2018-06-06,2018-06-29,g-enter,1900-06-06
204,1951,142,kinki,1951-06-07,1951-07-20,g-enter,1900-06-07
205,1952,184,kinki,1952-06-14,1952-07-15,g-enter,1900-06-14
206,1953,164,kinki,1953-05-28,1953-07-24,g-enter,1900-05-28
207,1954,191,kinki,1954-05-30,1954-07-21,g-enter,1900-05-30
208,1955,85,kinki,1955-06-15,1955-07-09,g-enter,1900-06-15
209,1956,91,kinki,1956-05-22,1956-07-12,g-enter,1900-05-22
210,1957,141,kinki,1957-06-17,1957-07-29,g-enter,1900-06-17
211,1958,80,kinki,1958-06-25,1958-07-12,g-enter,1900-06-25
212,1959,84,kinki,1959-06-05,1959-07-20,g-enter,1900-06-05
213,1960,88,kinki,1960-06-10,1960-07-11,g-enter,1900-06-10
214,1961,158,kinki,1961-06-09,1961-07-13,g-enter,1900-06-09
215,1962,153,kinki,1962-06-02,1962-07-20,g-enter,1900-06-02
216,1963,98,kinki,,1963-07-13,g-enter,
217,1964,87,kinki,1964-06-13,1964-07-22,g-enter,1900-06-13
218,1965,133,kinki,1965-06-12,1965-07-25,g-enter,1900-06-12
219,1966,119,kinki,1966-05-29,1966-07-13,g-enter,1900-05-29
220,1967,118,kinki,1967-06-21,1967-07-13,g-enter,1900-06-21
221,1968,114,kinki,1968-06-13,1968-07-17,g-enter,1900-06-13
222,1969,147,kinki,1969-06-17,1969-07-15,g-enter,1900-06-17
223,1970,126,kinki,1970-06-10,1970-07-18,g-enter,1900-06-10
224,1971,110,kinki,1971-06-03,1971-07-28,g-enter,1900-06-03
225,1972,157,kinki,1972-06-03,1972-07-18,g-enter,1900-06-03
