,year,p-amount,area,enter,exit,variable,date
1086,2017,67,kyusyu-n,2017-06-20,2017-07-13,g-exit,1900-07-13
1087,2018,110,kyusyu-n,2018-06-05,2018-07-09,g-exit,1900-07-09
1088,1951,132,kyusyu-s,1951-05-26,1951-07-21,g-exit,1900-07-21
1089,1952,132,kyusyu-s,1952-06-14,1952-07-16,g-exit,1900-07-16
1090,1953,118,kyusyu-s,1953-05-22,1953-07-22,g-exit,1900-07-22
1091,1954,178,kyusyu-s,1954-05-13,1954-08-01,g-exit,1900-08-01
1092,1955,130,kyusyu-s,1955-05-28,1955-06-24,g-exit,1900-06-24
1093,1956,86,kyusyu-s,1956-05-01,1956-07-13,g-exit,1900-07-13
1094,1957,92,kyusyu-s,1957-06-21,1957-08-08,g-exit,1900-08-08
1095,1958,40,kyusyu-s,1958-06-06,1958-07-09,g-exit,1900-07-09
1096,1959,102,kyusyu-s,1959-06-04,1959-07-21,g-exit,1900-07-21
1097,1960,59,kyusyu-s,1960-05-24,1960-07-10,g-exit,1900-07-10
1098,1961,67,kyusyu-s,1961-06-02,1961-07-10,g-exit,1900-07-10
1099,1962,119,kyusyu-s,1962-06-02,1962-07-20,g-exit,1900-07-20
1100,1963,58,kyusyu-s,1963-05-28,1963-07-12,g-exit,1900-07-12
1101,1964,84,kyusyu-s,1964-06-10,1964-07-01,g-exit,1900-07-01
1102,1965,79,kyusyu-s,1965-06-09,1965-07-07,g-exit,1900-07-07
1103,1966,87,kyusyu-s,1966-05-31,1966-07-14,g-exit,1900-07-14
1104,1967,76,kyusyu-s,1967-06-18,1967-07-14,g-exit,1900-07-14
1105,1968,129,kyusyu-s,1968-06-12,1968-07-16,g-exit,1900-07-16
1106,1969,107,kyusyu-s,1969-06-17,1969-07-15,g-exit,1900-07-15
1107,1970,106,kyusyu-s,1970-06-10,1970-07-15,g-exit,1900-07-15
1108,1971,106,kyusyu-s,1971-05-22,1971-07-25,g-exit,1900-07-25
1109,1972,133,kyusyu-s,1972-06-02,1972-07-15,g-exit,1900-07-15
1110,1973,81,kyusyu-s,1973-05-26,1973-07-05,g-exit,1900-07-05
1111,1974,63,kyusyu-s,1974-05-14,1974-07-18,g-exit,1900-07-18
1112,1975,93,kyusyu-s,1975-06-04,1975-07-14,g-exit,1900-07-14
1113,1976,114,kyusyu-s,1976-05-19,1976-07-16,g-exit,1900-07-16
1114,1977,83,kyusyu-s,1977-05-26,1977-07-04,g-exit,1900-07-04
1115,1978,70,kyusyu-s,1978-06-03,1978-07-03,g-exit,1900-07-03
1116,1979,110,kyusyu-s,1979-06-06,1979-07-22,g-exit,1900-07-22
1117,1980,100,kyusyu-s,1980-05-30,1980-07-18,g-exit,1900-07-18
1118,1981,44,kyusyu-s,1981-05-27,1981-07-11,g-exit,1900-07-11
1119,1982,94,kyusyu-s,1982-05-29,1982-07-27,g-exit,1900-07-27
1120,1983,96,kyusyu-s,1983-06-03,1983-07-21,g-exit,1900-07-21
1121,1984,84,kyusyu-s,1984-05-31,1984-07-03,g-exit,1900-07-03
1122,1985,90,kyusyu-s,1985-05-29,1985-07-06,g-exit,1900-07-06
1123,1986,67,kyusyu-s,1986-06-05,1986-07-19,g-exit,1900-07-19
1124,1987,88,kyusyu-s,1987-06-02,1987-07-25,g-exit,1900-07-25
1125,1988,98,kyusyu-s,1988-06-01,1988-07-05,g-exit,1900-07-05
1126,1989,103,kyusyu-s,1989-06-05,1989-07-14,g-exit,1900-07-14
1127,1990,86,kyusyu-s,1990-05-30,1990-07-07,g-exit,1900-07-07
1128,1991,89,kyusyu-s,1991-05-19,1991-07-09,g-exit,1900-07-09
1129,1992,110,kyusyu-s,1992-06-05,1992-07-20,g-exit,1900-07-20
1130,1993,216,kyusyu-s,1993-05-17,,g-exit,
1131,1994,73,kyusyu-s,1994-05-25,1994-07-01,g-exit,1900-07-01
1132,1995,126,kyusyu-s,1995-05-25,1995-07-07,g-exit,1900-07-07
1133,1996,105,kyusyu-s,1996-05-27,1996-07-13,g-exit,1900-07-13
1134,1997,84,kyusyu-s,1997-06-02,1997-07-20,g-exit,1900-07-20
1135,1998,110,kyusyu-s,1998-05-28,1998-07-01,g-exit,1900-07-01
1136,1999,131,kyusyu-s,1999-06-02,1999-07-23,g-exit,1900-07-23
1137,2000,118,kyusyu-s,2000-05-26,2000-07-15,g-exit,1900-07-15
1138,2001,83,kyusyu-s,2001-05-21,2001-07-20,g-exit,1900-07-20
1139,2002,113,kyusyu-s,2002-06-10,2002-07-21,g-exit,1900-07-21
1140,2003,104,kyusyu-s,2003-06-09,2003-07-22,g-exit,1900-07-22
1141,2004,51,kyusyu-s,2004-05-29,2004-07-11,g-exit,1900-07-11
1142,2005,77,kyusyu-s,2005-06-11,2005-07-15,g-exit,1900-07-15
1143,2006,116,kyusyu-s,2006-05-26,2006-07-25,g-exit,1900-07-25
1144,2007,139,kyusyu-s,2007-06-01,2007-07-18,g-exit,1900-07-18
1145,2008,92,kyusyu-s,2008-05-28,2008-07-06,g-exit,1900-07-06
1146,2009,51,kyusyu-s,2009-06-02,2009-07-12,g-exit,1900-07-12
1147,2010,163,kyusyu-s,2010-06-12,2010-07-20,g-exit,1900-07-20
1148,2011,135,kyusyu-s,2011-05-23,2011-07-08,g-exit,1900-07-08
1149,2012,168,kyusyu-s,2012-05-30,2012-07-23,g-exit,1900-07-23
1150,2013,77,kyusyu-s,2013-05-27,2013-07-08,g-exit,1900-07-08
1151,2014,135,kyusyu-s,2014-06-02,2014-07-16,g-exit,1900-07-16
1152,2015,209,kyusyu-s,2015-06-02,2015-07-14,g-exit,1900-07-14
1153,2016,147,kyusyu-s,2016-05-24,2016-07-18,g-exit,1900-07-18
1154,2017,91,kyusyu-s,2017-06-06,2017-07-13,g-exit,1900-07-13
1155,2018,128,kyusyu-s,2018-06-05,2018-07-09,g-exit,1900-07-09
1156,1951,141,okinawa,1951-05-14,1951-06-18,g-exit,1900-06-18
1157,1952,140,okinawa,1952-05-11,1952-06-24,g-exit,1900-06-24
1158,1953,136,okinawa,1953-05-11,1953-06-14,g-exit,1900-06-14
1159,1954,110,okinawa,1954-05-07,1954-07-01,g-exit,1900-07-01
1160,1955,104,okinawa,1955-05-06,1955-06-17,g-exit,1900-06-17
1161,1956,158,okinawa,1956-04-28,1956-06-16,g-exit,1900-06-16
1162,1957,198,okinawa,1957-05-12,1957-06-19,g-exit,1900-06-19
1163,1958,86,okinawa,1958-05-03,1958-06-25,g-exit,1900-06-25
1164,1959,101,okinawa,1959-05-16,1959-06-30,g-exit,1900-06-30
1165,1960,92,okinawa,1960-05-15,1960-06-20,g-exit,1900-06-20
1166,1961,84,okinawa,1961-05-07,1961-06-16,g-exit,1900-06-16
1167,1962,94,okinawa,1962-05-03,1962-07-02,g-exit,1900-07-02
1168,1963,46,okinawa,1963-06-04,1963-06-15,g-exit,1900-06-15
1169,1964,134,okinawa,1964-05-05,1964-06-25,g-exit,1900-06-25
1170,1965,187,okinawa,1965-05-06,1965-06-29,g-exit,1900-06-29
1171,1966,187,okinawa,1966-05-11,1966-06-14,g-exit,1900-06-14
1172,1967,122,okinawa,1967-05-20,1967-06-19,g-exit,1900-06-19
1173,1968,78,okinawa,1968-05-20,1968-06-25,g-exit,1900-06-25
1174,1969,157,okinawa,1969-05-08,1969-06-29,g-exit,1900-06-29
1175,1970,114,okinawa,1970-05-13,1970-06-18,g-exit,1900-06-18
1176,1971,38,okinawa,1971-05-20,1971-06-10,g-exit,1900-06-10
1177,1972,136,okinawa,1972-05-11,1972-06-20,g-exit,1900-06-20
1178,1973,87,okinawa,1973-05-09,1973-06-18,g-exit,1900-06-18
1179,1974,138,okinawa,1974-05-05,1974-06-30,g-exit,1900-06-30
1180,1975,130,okinawa,1975-05-08,1975-07-06,g-exit,1900-07-06
1181,1976,86,okinawa,1976-05-26,1976-07-09,g-exit,1900-07-09
1182,1977,93,okinawa,1977-05-09,1977-06-28,g-exit,1900-06-28
1183,1978,111,okinawa,1978-05-10,1978-06-15,g-exit,1900-06-15
1184,1979,131,okinawa,1979-05-10,1979-06-19,g-exit,1900-06-19
1185,1980,63,okinawa,1980-04-20,1980-06-10,g-exit,1900-06-10
1186,1981,75,okinawa,1981-05-06,1981-06-17,g-exit,1900-06-17
1187,1982,102,okinawa,1982-05-07,1982-07-06,g-exit,1900-07-06
1188,1983,94,okinawa,1983-05-09,1983-06-20,g-exit,1900-06-20
1189,1984,73,okinawa,1984-05-14,1984-06-18,g-exit,1900-06-18
1190,1985,77,okinawa,1985-05-15,1985-06-21,g-exit,1900-06-21
1191,1986,71,okinawa,1986-05-07,1986-06-21,g-exit,1900-06-21
1192,1987,141,okinawa,1987-05-13,1987-06-26,g-exit,1900-06-26
1193,1988,119,okinawa,1988-05-10,1988-06-28,g-exit,1900-06-28
1194,1989,114,okinawa,1989-05-09,1989-06-24,g-exit,1900-06-24
1195,1990,135,okinawa,1990-05-09,1990-06-19,g-exit,1900-06-19
1196,1991,43,okinawa,1991-05-06,1991-06-26,g-exit,1900-06-26
1197,1992,119,okinawa,1992-05-08,1992-06-26,g-exit,1900-06-26
1198,1993,63,okinawa,1993-05-03,1993-06-25,g-exit,1900-06-25
1199,1994,105,okinawa,1994-05-03,1994-06-23,g-exit,1900-06-23
1200,1995,119,okinawa,1995-05-04,1995-07-01,g-exit,1900-07-01
1201,1996,110,okinawa,1996-04-29,1996-06-10,g-exit,1900-06-10
1202,1997,90,okinawa,1997-05-01,1997-06-20,g-exit,1900-06-20
1203,1998,178,okinawa,1998-04-25,1998-06-18,g-exit,1900-06-18
1204,1999,75,okinawa,1999-05-09,1999-06-23,g-exit,1900-06-23
1205,2000,57,okinawa,2000-05-17,2000-06-20,g-exit,1900-06-20
1206,2001,142,okinawa,2001-05-06,2001-06-21,g-exit,1900-06-21
1207,2002,61,okinawa,2002-05-11,2002-06-21,g-exit,1900-06-21
1208,2003,74,okinawa,2003-05-15,2003-06-20,g-exit,1900-06-20
1209,2004,93,okinawa,2004-05-05,2004-06-23,g-exit,1900-06-23
1210,2005,167,okinawa,2005-05-02,2005-06-27,g-exit,1900-06-27
1211,2006,133,okinawa,2006-05-14,2006-06-20,g-exit,1900-06-20
1212,2007,103,okinawa,2007-05-16,2007-06-21,g-exit,1900-06-21
1213,2008,81,okinawa,2008-05-22,2008-06-17,g-exit,1900-06-17
1214,2009,92,okinawa,2009-05-18,2009-07-06,g-exit,1900-07-06
1215,2010,95,okinawa,2010-05-06,2010-06-19,g-exit,1900-06-19
1216,2011,138,okinawa,2011-04-30,2011-06-09,g-exit,1900-06-09
1217,2012,115,okinawa,2012-05-13,2012-06-23,g-exit,1900-06-23
1218,2013,93,okinawa,2013-05-10,2013-06-11,g-exit,1900-06-11
1219,2014,126,okinawa,2014-05-05,2014-06-26,g-exit,1900-06-26
1220,2015,73,okinawa,2015-05-20,2015-06-08,g-exit,1900-06-08
1221,2016,84,okinawa,2016-05-16,2016-06-16,g-exit,1900-06-16
1222,2017,105,okinawa,2017-05-13,2017-06-22,g-exit,1900-06-22
1223,2018,71,okinawa,2018-06-01,2018-06-23,g-exit,1900-06-23
1224,1951,137,sikoku,1951-05-26,1951-07-22,g-exit,1900-07-22
1225,1952,143,sikoku,1952-06-08,1952-07-21,g-exit,1900-07-21
1226,1953,148,sikoku,1953-05-28,1953-07-23,g-exit,1900-07-23
1227,1954,204,sikoku,1954-06-05,1954-08-02,g-exit,1900-08-02
1228,1955,105,sikoku,1955-05-28,1955-07-10,g-exit,1900-07-10
1229,1956,73,sikoku,1956-05-22,1956-07-10,g-exit,1900-07-10
1230,1957,103,sikoku,1957-06-05,1957-07-29,g-exit,1900-07-29
1231,1958,65,sikoku,1958-06-06,1958-07-10,g-exit,1900-07-10
1232,1959,71,sikoku,1959-06-05,1959-07-20,g-exit,1900-07-20
1233,1960,86,sikoku,1960-06-10,1960-07-09,g-exit,1900-07-09
1234,1961,108,sikoku,1961-06-08,1961-07-07,g-exit,1900-07-07
1235,1962,136,sikoku,1962-06-02,1962-07-19,g-exit,1900-07-19
1236,1963,103,sikoku,,1963-07-13,g-exit,1900-07-13
1237,1964,77,sikoku,1964-06-11,1964-07-01,g-exit,1900-07-01
1238,1965,111,sikoku,1965-06-11,1965-07-24,g-exit,1900-07-24
1239,1966,114,sikoku,1966-05-31,1966-07-13,g-exit,1900-07-13
1240,1967,81,sikoku,1967-06-21,1967-07-13,g-exit,1900-07-13
1241,1968,103,sikoku,1968-06-12,1968-07-17,g-exit,1900-07-17
1242,1969,127,sikoku,1969-06-17,1969-07-14,g-exit,1900-07-14
1243,1970,123,sikoku,1970-06-10,1970-07-14,g-exit,1900-07-14
1244,1971,93,sikoku,1971-06-03,1971-07-27,g-exit,1900-07-27
1245,1972,146,sikoku,1972-06-03,1972-07-18,g-exit,1900-07-18
1246,1973,62,sikoku,1973-06-05,1973-07-03,g-exit,1900-07-03
1247,1974,119,sikoku,1974-06-10,1974-07-19,g-exit,1900-07-19
1248,1975,96,sikoku,1975-06-04,1975-07-15,g-exit,1900-07-15
1249,1976,91,sikoku,1976-05-19,1976-07-22,g-exit,1900-07-22
1250,1977,88,sikoku,1977-06-07,1977-07-12,g-exit,1900-07-12
1251,1978,80,sikoku,1978-06-11,1978-07-03,g-exit,1900-07-03
1252,1979,105,sikoku,1979-06-06,1979-07-22,g-exit,1900-07-22
1253,1980,114,sikoku,1980-05-30,1980-07-19,g-exit,1900-07-19
1254,1981,86,sikoku,1981-06-10,1981-07-16,g-exit,1900-07-16
1255,1982,120,sikoku,1982-05-29,1982-07-27,g-exit,1900-07-27
1256,1983,76,sikoku,1983-06-12,1983-07-24,g-exit,1900-07-24
1257,1984,108,sikoku,1984-06-08,1984-07-14,g-exit,1900-07-14
1258,1985,101,sikoku,1985-06-07,1985-07-07,g-exit,1900-07-07
1259,1986,73,sikoku,1986-06-06,1986-07-18,g-exit,1900-07-18
1260,1987,114,sikoku,1987-06-08,1987-07-25,g-exit,1900-07-25
1261,1988,146,sikoku,1988-06-01,1988-07-31,g-exit,1900-07-31
1262,1989,91,sikoku,1989-06-08,1989-07-18,g-exit,1900-07-18
1263,1990,82,sikoku,1990-05-31,1990-07-17,g-exit,1900-07-17
1264,1991,106,sikoku,1991-05-19,1991-07-19,g-exit,1900-07-19
1265,1992,68,sikoku,1992-06-07,1992-07-21,g-exit,1900-07-21
1266,1993,194,sikoku,1993-05-29,,g-exit,
1267,1994,61,sikoku,1994-06-07,1994-07-02,g-exit,1900-07-02
1268,1995,105,sikoku,1995-06-08,1995-07-08,g-exit,1900-07-08
1269,1996,94,sikoku,1996-06-07,1996-07-11,g-exit,1900-07-11
1270,1997,99,sikoku,1997-06-02,1997-07-18,g-exit,1900-07-18
1271,1998,117,sikoku,1998-06-02,1998-07-03,g-exit,1900-07-03
1272,1999,136,sikoku,1999-06-02,1999-07-22,g-exit,1900-07-22
1273,2000,74,sikoku,2000-06-03,2000-07-18,g-exit,1900-07-18
1274,2001,89,sikoku,2001-05-21,2001-07-19,g-exit,1900-07-19
1275,2002,79,sikoku,2002-06-11,2002-07-20,g-exit,1900-07-20
1276,2003,96,sikoku,2003-06-10,2003-07-31,g-exit,1900-07-31
1277,2004,79,sikoku,2004-05-29,2004-07-13,g-exit,1900-07-13
1278,2005,76,sikoku,2005-06-11,2005-07-16,g-exit,1900-07-16
1279,2006,119,sikoku,2006-06-08,2006-07-26,g-exit,1900-07-26
1280,2007,128,sikoku,2007-06-13,2007-07-23,g-exit,1900-07-23
1281,2008,73,sikoku,2008-05-28,2008-07-06,g-exit,1900-07-06
1282,2009,88,sikoku,2009-06-03,2009-07-30,g-exit,1900-07-30
1283,2010,123,sikoku,2010-06-13,2010-07-17,g-exit,1900-07-17
1284,2011,146,sikoku,2011-05-21,2011-07-08,g-exit,1900-07-08
1285,2012,141,sikoku,2012-06-02,2012-07-17,g-exit,1900-07-17
1286,2013,89,sikoku,2013-05-27,2013-07-08,g-exit,1900-07-08
1287,2014,89,sikoku,2014-06-02,2014-07-20,g-exit,1900-07-20
1288,2015,142,sikoku,2015-06-02,2015-07-24,g-exit,1900-07-24
1289,2016,132,sikoku,2016-06-04,2016-07-18,g-exit,1900-07-18
1290,2017,81,sikoku,2017-06-20,2017-07-13,g-exit,1900-07-13
1291,2018,156,sikoku,2018-06-05,2018-07-09,g-exit,1900-07-09
1292,1951,93,tohoku-n,1951-06-10,1951-07-23,g-exit,1900-07-23
1293,1952,94,tohoku-n,1952-06-30,1952-07-20,g-exit,1900-07-20
1294,1953,101,tohoku-n,1953-06-05,1953-07-28,g-exit,1900-07-28
1295,1954,106,tohoku-n,1954-06-11,1954-08-01,g-exit,1900-08-01
1296,1955,104,tohoku-n,1955-06-15,1955-07-09,g-exit,1900-07-09
1297,1956,119,tohoku-n,1956-06-20,1956-07-25,g-exit,1900-07-25
1298,1957,88,tohoku-n,1957-06-18,1957-08-10,g-exit,1900-08-10
1299,1958,114,tohoku-n,1958-06-11,1958-08-01,g-exit,1900-08-01
1300,1959,121,tohoku-n,1959-06-07,1959-07-25,g-exit,1900-07-25
1301,1960,75,tohoku-n,1960-06-27,1960-07-18,g-exit,1900-07-18
1302,1961,118,tohoku-n,1961-06-24,1961-07-28,g-exit,1900-07-28
1303,1962,59,tohoku-n,1962-06-03,1962-07-25,g-exit,1900-07-25
1304,1963,109,tohoku-n,1963-06-19,1963-07-27,g-exit,1900-07-27
1305,1964,99,tohoku-n,1964-06-08,1964-07-25,g-exit,1900-07-25
1306,1965,113,tohoku-n,1965-06-18,1965-08-06,g-exit,1900-08-06
1307,1966,169,tohoku-n,1966-06-16,1966-08-07,g-exit,1900-08-07
1308,1967,78,tohoku-n,1967-07-03,1967-07-18,g-exit,1900-07-18
1309,1968,64,tohoku-n,1968-06-20,1968-07-23,g-exit,1900-07-23
1310,1969,82,tohoku-n,1969-06-22,1969-07-14,g-exit,1900-07-14
1311,1970,62,tohoku-n,1970-06-18,1970-07-20,g-exit,1900-07-20
1312,1971,104,tohoku-n,1971-06-11,1971-07-30,g-exit,1900-07-30
1313,1972,101,tohoku-n,1972-06-20,1972-08-06,g-exit,1900-08-06
1314,1973,31,tohoku-n,1973-06-07,1973-07-13,g-exit,1900-07-13
1315,1974,130,tohoku-n,1974-06-06,1974-08-03,g-exit,1900-08-03
1316,1975,106,tohoku-n,1975-06-12,1975-07-19,g-exit,1900-07-19
1317,1976,55,tohoku-n,1976-06-08,1976-07-23,g-exit,1900-07-23
1318,1977,75,tohoku-n,1977-06-11,1977-07-22,g-exit,1900-07-22
1319,1978,79,tohoku-n,1978-06-11,1978-07-08,g-exit,1900-07-08
1320,1979,119,tohoku-n,1979-06-08,1979-08-08,g-exit,1900-08-08
1321,1980,106,tohoku-n,1980-06-09,1980-08-03,g-exit,1900-08-03
1322,1981,129,tohoku-n,1981-06-11,1981-07-17,g-exit,1900-07-17
1323,1982,64,tohoku-n,1982-06-24,1982-08-07,g-exit,1900-08-07
1324,1983,126,tohoku-n,1983-06-13,1983-07-29,g-exit,1900-07-29
1325,1984,92,tohoku-n,1984-06-10,1984-07-22,g-exit,1900-07-22
1326,1985,92,tohoku-n,1985-06-08,1985-07-19,g-exit,1900-07-19
1327,1986,97,tohoku-n,1986-06-17,1986-07-28,g-exit,1900-07-28
1328,1987,106,tohoku-n,1987-06-27,1987-08-09,g-exit,1900-08-09
1329,1988,84,tohoku-n,1988-06-09,1988-07-31,g-exit,1900-07-31
1330,1989,48,tohoku-n,1989-06-15,1989-07-21,g-exit,1900-07-21
1331,1990,120,tohoku-n,1990-06-15,1990-07-27,g-exit,1900-07-27
1332,1991,137,tohoku-n,1991-06-10,1991-08-14,g-exit,1900-08-14
1333,1992,73,tohoku-n,1992-06-08,1992-07-29,g-exit,1900-07-29
1334,1993,136,tohoku-n,1993-06-03,,g-exit,
1335,1994,58,tohoku-n,1994-06-19,1994-07-13,g-exit,1900-07-13
1336,1995,70,tohoku-n,1995-06-14,1995-07-23,g-exit,1900-07-23
1337,1996,107,tohoku-n,1996-06-11,1996-08-06,g-exit,1900-08-06
1338,1997,76,tohoku-n,1997-06-02,1997-07-17,g-exit,1900-07-17
1339,1998,114,tohoku-n,1998-06-03,,g-exit,
1340,1999,116,tohoku-n,1999-06-16,1999-07-26,g-exit,1900-07-26
1341,2000,103,tohoku-n,2000-06-23,2000-07-27,g-exit,1900-07-27
1342,2001,111,tohoku-n,2001-06-06,,g-exit,
1343,2002,134,tohoku-n,2002-06-11,2002-07-25,g-exit,1900-07-25
1344,2003,110,tohoku-n,2003-06-12,,g-exit,
1345,2004,87,tohoku-n,2004-06-19,2004-07-22,g-exit,1900-07-22
1346,2005,100,tohoku-n,2005-06-25,2005-08-04,g-exit,1900-08-04
1347,2006,80,tohoku-n,2006-06-15,2006-08-02,g-exit,1900-08-02
1348,2007,73,tohoku-n,2007-06-29,2007-08-11,g-exit,1900-08-11
1349,2008,98,tohoku-n,2008-06-23,2008-08-05,g-exit,1900-08-05
1350,2009,148,tohoku-n,2009-06-04,,g-exit,
1351,2010,113,tohoku-n,2010-06-16,2010-07-18,g-exit,1900-07-18
1352,2011,70,tohoku-n,2011-06-21,2011-07-09,g-exit,1900-07-09
1353,2012,86,tohoku-n,2012-06-09,2012-07-26,g-exit,1900-07-26
1354,2013,110,tohoku-n,2013-06-15,2013-08-10,g-exit,1900-08-10
1355,2014,109,tohoku-n,2014-06-06,2014-07-25,g-exit,1900-07-25
1356,2015,87,tohoku-n,2015-06-26,2015-07-29,g-exit,1900-07-29
1357,2016,91,tohoku-n,2016-06-13,2016-07-29,g-exit,1900-07-29
1358,2017,118,tohoku-n,2017-07-01,,g-exit,
1359,2018,99,tohoku-n,2018-06-11,2018-07-19,g-exit,1900-07-19
1360,1951,74,tohoku-s,1951-06-04,1951-07-18,g-exit,1900-07-18
1361,1952,118,tohoku-s,1952-06-23,1952-07-20,g-exit,1900-07-20
1362,1953,101,tohoku-s,1953-06-05,1953-07-26,g-exit,1900-07-26
1363,1954,137,tohoku-s,1954-06-06,1954-07-23,g-exit,1900-07-23
1364,1955,75,tohoku-s,1955-06-15,1955-07-08,g-exit,1900-07-08
1365,1956,141,tohoku-s,1956-06-20,1956-07-24,g-exit,1900-07-24
1366,1957,114,tohoku-s,1957-06-18,1957-07-29,g-exit,1900-07-29
1367,1958,137,tohoku-s,1958-06-08,1958-07-14,g-exit,1900-07-14
1368,1959,123,tohoku-s,1959-06-01,1959-07-25,g-exit,1900-07-25
1369,1960,64,tohoku-s,1960-06-21,1960-07-17,g-exit,1900-07-17
1370,1961,117,tohoku-s,1961-06-21,1961-07-20,g-exit,1900-07-20
1371,1962,97,tohoku-s,1962-06-03,1962-07-22,g-exit,1900-07-22
1372,1963,111,tohoku-s,1963-06-03,1963-07-26,g-exit,1900-07-26
1373,1964,101,tohoku-s,1964-06-08,1964-07-22,g-exit,1900-07-22
1374,1965,123,tohoku-s,1965-06-14,1965-07-24,g-exit,1900-07-24
1375,1966,135,tohoku-s,1966-06-04,1966-07-25,g-exit,1900-07-25
1376,1967,92,tohoku-s,1967-06-26,1967-07-15,g-exit,1900-07-15
1377,1968,80,tohoku-s,1968-06-16,1968-07-19,g-exit,1900-07-19
1378,1969,90,tohoku-s,1969-06-17,1969-07-14,g-exit,1900-07-14
1379,1970,45,tohoku-s,1970-06-15,1970-07-20,g-exit,1900-07-20
1380,1971,117,tohoku-s,1971-06-03,1971-07-29,g-exit,1900-07-29
1381,1972,75,tohoku-s,1972-06-12,1972-07-30,g-exit,1900-07-30
1382,1973,44,tohoku-s,1973-06-06,1973-07-13,g-exit,1900-07-13
1383,1974,123,tohoku-s,1974-06-04,1974-07-26,g-exit,1900-07-26
1384,1975,70,tohoku-s,1975-06-05,1975-07-16,g-exit,1900-07-16
1385,1976,79,tohoku-s,1976-06-05,1976-07-22,g-exit,1900-07-22
1386,1977,66,tohoku-s,1977-06-11,1977-07-22,g-exit,1900-07-22
1387,1978,83,tohoku-s,1978-06-11,1978-07-05,g-exit,1900-07-05
1388,1979,104,tohoku-s,1979-06-08,1979-07-30,g-exit,1900-07-30
1389,1980,137,tohoku-s,1980-06-08,1980-07-22,g-exit,1900-07-22
1390,1981,102,tohoku-s,1981-06-11,1981-07-16,g-exit,1900-07-16
1391,1982,84,tohoku-s,1982-06-23,1982-08-07,g-exit,1900-08-07
1392,1983,118,tohoku-s,1983-06-13,1983-07-27,g-exit,1900-07-27
1393,1984,68,tohoku-s,1984-06-10,1984-07-22,g-exit,1900-07-22
1394,1985,99,tohoku-s,1985-06-08,1985-07-16,g-exit,1900-07-16
1395,1986,89,tohoku-s,1986-06-17,1986-07-28,g-exit,1900-07-28
1396,1987,72,tohoku-s,1987-06-25,1987-08-09,g-exit,1900-08-09
1397,1988,100,tohoku-s,1988-06-09,1988-07-31,g-exit,1900-07-31
1398,1989,55,tohoku-s,1989-06-15,1989-07-21,g-exit,1900-07-21
1399,1990,89,tohoku-s,1990-06-15,1990-07-20,g-exit,1900-07-20
1400,1991,141,tohoku-s,1991-06-10,1991-07-27,g-exit,1900-07-27
1401,1992,92,tohoku-s,1992-06-08,1992-07-24,g-exit,1900-07-24
1402,1993,123,tohoku-s,1993-06-03,,g-exit,
1403,1994,50,tohoku-s,1994-06-19,1994-07-12,g-exit,1900-07-12
1404,1995,106,tohoku-s,1995-06-03,1995-07-23,g-exit,1900-07-23
1405,1996,87,tohoku-s,1996-06-10,1996-07-24,g-exit,1900-07-24
1406,1997,113,tohoku-s,1997-06-02,1997-07-18,g-exit,1900-07-18
1407,1998,96,tohoku-s,1998-06-03,,g-exit,
1408,1999,132,tohoku-s,1999-06-16,1999-07-24,g-exit,1900-07-24
1409,2000,105,tohoku-s,2000-06-09,2000-07-19,g-exit,1900-07-19
1410,2001,98,tohoku-s,2001-06-06,2001-07-07,g-exit,1900-07-07
1411,2002,130,tohoku-s,2002-06-11,2002-07-23,g-exit,1900-07-23
1412,2003,111,tohoku-s,2003-06-12,,g-exit,
1413,2004,114,tohoku-s,2004-06-07,2004-07-22,g-exit,1900-07-22
1414,2005,87,tohoku-s,2005-06-15,2005-08-04,g-exit,1900-08-04
1415,2006,145,tohoku-s,2006-06-09,2006-08-02,g-exit,1900-08-02
1416,2007,126,tohoku-s,2007-06-21,2007-08-01,g-exit,1900-08-01
1417,2008,68,tohoku-s,2008-06-22,2008-08-06,g-exit,1900-08-06
1418,2009,91,tohoku-s,2009-06-04,,g-exit,
1419,2010,108,tohoku-s,2010-06-14,2010-07-18,g-exit,1900-07-18
1420,2011,110,tohoku-s,2011-06-21,2011-07-09,g-exit,1900-07-09
1421,2012,86,tohoku-s,2012-06-09,2012-07-26,g-exit,1900-07-26
1422,2013,139,tohoku-s,2013-06-15,2013-08-07,g-exit,1900-08-07
1423,2014,99,tohoku-s,2014-06-05,2014-07-25,g-exit,1900-07-25
1424,2015,66,tohoku-s,2015-06-26,2015-07-26,g-exit,1900-07-26
1425,2016,70,tohoku-s,2016-06-13,2016-07-29,g-exit,1900-07-29
1426,2017,110,tohoku-s,2017-06-30,,g-exit,
1427,2018,43,tohoku-s,2018-06-10,2018-07-14,g-exit,1900-07-14
1428,1951,115,tokai,1951-06-28,1951-07-18,g-exit,1900-07-18
1429,1952,157,tokai,1952-05-27,1952-07-16,g-exit,1900-07-16
1430,1953,155,tokai,1953-05-28,1953-07-24,g-exit,1900-07-24
1431,1954,149,tokai,1954-06-06,1954-08-02,g-exit,1900-08-02
1432,1955,67,tokai,1955-06-02,1955-07-09,g-exit,1900-07-09
1433,1956,85,tokai,1956-05-22,1956-07-13,g-exit,1900-07-13
1434,1957,112,tokai,1957-06-21,1957-07-29,g-exit,1900-07-29
1435,1958,83,tokai,1958-06-25,1958-07-15,g-exit,1900-07-15
